"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","Create a Book","2","0","","0"
"0","","0","Validate behavior for ID inclusion and duplicate entries","1","0","","0"
"0","","3","Delete a Book by ID","0","0","","0"
"0","","2","Get a Book by ID","1","0","","0"
"0","","0","Get All Books","3","0","","0"
"0","","1","Update a Book Record","2","0","","0"
"0","","0","Create a Book with Duplicate Details","1","0","","0"
"0","","1","Update a Book by ID - Unauthorized Access","0","0","","0"
"0","","0","Update a Book by ID - Admin","1","0","","0"
"1","","0","Validate behavior for ID as a number","0","0","","0"
"3","","0","Assign a claim","1","0","","0"
"0","","0","Add New Employee","1","0","","0"
"0","","0","Search Candidates","1","0","","0"
"0","","0","Update User Personal Details","3","0","","0"
"0","","0","Submit a claim","4","0","","0"
"0","","0","Delete Key Performance Indicators","1","0","","0"
"1","","0","Delete Text Post","0","0","","0"
"0","","0","Create Text Post","1","0","","0"
"0","","0","Cancel Add Key Performance Indicators","1","0","","0"
"0","","0","View User Info","2","0","","0"
"0","","0","Delete Candidate","1","0","","0"
"0","","0","Delete Employee","1","0","","0"
"0","","0","Add New Candidate","1","0","","0"
"0","","0","Search Employee","1","0","","0"
"0","","0","Edit Text Post","1","0","","0"
"0","","0","Employee Claims Navigation","1","0","","0"
"0","","0","Assign a Leave","1","0","","0"
"1","","0","Apply for Leave","0","0","","0"
"0","","0","Add Key Performance Indicators","1","0","","0"
