"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a library user or admin
  I want to create a new book
  So that they can be available in the system","99","Missing mandatory fields","","Tue Jan 07 16:37:40 UTC 2025","failed","Tue Jan 07 16:37:40 UTC 2025","","","",""
"As a library admin
  I want to validate book creation behavior for IDs and duplicates
  So that the system handles these cases appropriately","122","Verify behavior when ID is included as String","","Tue Jan 07 16:37:53 UTC 2025","passed","Tue Jan 07 16:37:53 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","126","Successfully deleting a book by existing ID","","Tue Jan 07 16:38:49 UTC 2025","failed","Tue Jan 07 16:38:49 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","84","Getting a book by invalid ID","","Tue Jan 07 16:38:15 UTC 2025","passed","Tue Jan 07 16:38:15 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","88","Getting a book by non-existing ID","","Tue Jan 07 16:38:49 UTC 2025","failed","Tue Jan 07 16:38:49 UTC 2025","","","",""
"As a library user or admin
  I want to fetch the list of books
  So that I can view available books in the system","129","Successfully fetching the list of books as Admin","","Tue Jan 07 16:38:07 UTC 2025","passed","Tue Jan 07 16:38:07 UTC 2025","","","",""
"As a library user or admin
  I want to fetch the list of books
  So that I can view available books in the system","440","Fetching books when no books exist","","Tue Jan 07 16:37:32 UTC 2025","passed","Tue Jan 07 16:37:33 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","96","Successfully getting a book by existing ID","","Tue Jan 07 16:38:14 UTC 2025","failed","Tue Jan 07 16:38:14 UTC 2025","","","",""
"As a library user or admin
  I want to create a new book
  So that they can be available in the system","98","Empty mandatory fields","","Tue Jan 07 16:37:40 UTC 2025","failed","Tue Jan 07 16:37:40 UTC 2025","","","",""
"As a library user or admin
  I want to update the name and the author
  of a book that has already been created","93","Successfully updating a new book with only the title","","Tue Jan 07 16:38:28 UTC 2025","passed","Tue Jan 07 16:38:28 UTC 2025","","","",""
"As a library user or admin
  I want to update the name and the author
  of a book that has already been created","131","Successfully updating a new book with both the title and author","","Tue Jan 07 16:38:28 UTC 2025","passed","Tue Jan 07 16:38:28 UTC 2025","","","",""
"As a library user or admin
  I want to create a new book
  So that they can be available in the system","230","Successfully creating a new book","","Tue Jan 07 16:37:39 UTC 2025","passed","Tue Jan 07 16:37:40 UTC 2025","","","",""
"As a library user or admin
  I want to update the name and the author
  of a book that has already been created","98","Successfully updating a new book with only the author","","Tue Jan 07 16:38:28 UTC 2025","failed","Tue Jan 07 16:38:28 UTC 2025","","","",""
"As a library user or admin
  I want to handle duplicate book creation
  So that the system can prevent duplicate entries","208","Creating a book with duplicate details","","Tue Jan 07 16:38:00 UTC 2025","passed","Tue Jan 07 16:38:00 UTC 2025","","","",""
"As a user who is not authenticated
  I want to verify that unauthorized users cannot update a book by its ID
  So that only authenticated users can modify book details","124","Attempting to update a book by ID without authentication","","Tue Jan 07 16:38:35 UTC 2025","failed","Tue Jan 07 16:38:35 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","85","Getting a book by non-existing ID","","Tue Jan 07 16:38:14 UTC 2025","failed","Tue Jan 07 16:38:15 UTC 2025","","","",""
"As a library user or admin
  I want to create a new book
  So that they can be available in the system","96","Successfully creating a new book","","Tue Jan 07 16:37:40 UTC 2025","passed","Tue Jan 07 16:37:40 UTC 2025","","","",""
"As a library admin
  I want to update a book by its ID
  So that I can modify the book details","124","Attempting to update a non-existent book ID","","Tue Jan 07 16:38:42 UTC 2025","passed","Tue Jan 07 16:38:42 UTC 2025","","","",""
"As a library user or admin
  I want to create a new book
  So that they can be available in the system","91","Missing mandatory fields","","Tue Jan 07 16:37:40 UTC 2025","failed","Tue Jan 07 16:37:40 UTC 2025","","","",""
"As a library admin
  I want to validate book creation behavior when ID is a number
  So that the system handles numeric IDs appropriately","135","Verify behavior when ID is included as a number","","Tue Jan 07 16:37:47 UTC 2025","broken","Tue Jan 07 16:37:47 UTC 2025","","","",""
"As a library user
  I want to get a book by its ID
  So that I can view the book details","86","Successfully getting a book by existing ID","","Tue Jan 07 16:38:49 UTC 2025","failed","Tue Jan 07 16:38:49 UTC 2025","","","",""
"As a library user or admin
  I want to fetch the list of books
  So that I can view available books in the system","90","Successfully fetching the list of books as User","","Tue Jan 07 16:38:07 UTC 2025","passed","Tue Jan 07 16:38:07 UTC 2025","","","",""
